date,confirmed,death,released,tested,negative
2020-01-21,1,0,0,1,0
2020-01-22,1,0,0,1,0
2020-01-23,1,0,0,1,0
2020-01-24,2,0,0,2,0
2020-01-25,2,0,0,2,0
2020-01-26,2,0,0,2,0
2020-01-27,4,0,0,61,0
2020-01-28,4,0,0,61,0
2020-01-29,4,0,0,187,0
2020-01-30,7,0,0,247,0
2020-01-31,11,0,0,309,240
2020-02-01,12,0,0,383,289
2020-02-02,15,0,0,429,327
2020-02-03,15,0,0,490,414
2020-02-04,16,0,0,607,462
2020-02-05,21,0,1,717,522
2020-02-06,24,0,2,886,693
2020-02-07,24,0,2,1352,1001
2020-02-08,24,0,2,2097,1134
2020-02-09,27,0,3,2598,1683
2020-02-10,27,0,4,3110,2552
2020-02-11,28,0,4,4325,3535
2020-02-12,28,0,7,5624,4811
2020-02-13,28,0,7,6511,5921
2020-02-14,28,0,7,7242,6679
2020-02-15,28,0,9,7519,6853
2020-02-16,29,0,9,8161,7647
2020-02-17,30,0,10,8718,7980
2020-02-18,39,0,12,9780,8923
2020-02-19,46,0,16,11168,9973
2020-02-20,104,1,16,13202,11238
2020-02-21,204,1,17,16400,13016
2020-02-22,433,3,18,21586,15116
2020-02-23,608,6,18,22685,16038
2020-02-24,843,7,22,32766,20292
2020-02-25,977,10,22,36800,22550
2020-02-26,1261,12,24,53553,31576
2020-02-27,1766,13,26,66652,39318
2020-02-28,2337,13,27,81167,48593
2020-02-29,3150,17,28,94055,55723
2020-03-01,3736,18,30,98921,61825
2020-03-02,4212,22,31,109591,71580
2020-03-03,4812,28,34,125851,85484
2020-03-04,5328,32,41,136707,102965
2020-03-05,5766,35,88,146541,118965
2020-03-06,6284,44,108,164740,136624
2020-03-07,6767,44,118,178189,151802
2020-03-08,7134,50,130,188518,162008
2020-03-09,7382,51,166,196618,171778
2020-03-10,7513,54,247,210144,184179
2020-03-11,7755,60,288,222395,196100
2020-03-12,7869,66,333,234998,209402
2020-03-13,7979,67,510,248647,222728
2020-03-14,8086,72,714,261335,235615
2020-03-15,8162,75,834,268212,243778
2020-03-16,8236,75,1137,274504,251297
2020-03-17,8320,81,1401,286716,261105
2020-03-18,8413,84,1540,295647,270888
2020-03-19,8565,91,1947,307024,282555
2020-03-20,8652,94,2233,316664,292487
2020-03-21,8799,102,2612,327509,303006
2020-03-22,8897,104,2909,331780,308343
2020-03-23,8961,111,3166,338036,315447
2020-03-24,9037,120,3507,348582,324105
2020-03-25,9137,126,3730,357896,334481
2020-03-26,9241,131,4144,364942,341332
2020-03-27,9332,139,4528,376961,352410
2020-03-28,9478,144,4811,387925,361883
2020-03-29,9583,152,5033,394141,369530
2020-03-30,9661,158,5228,395194,372002
2020-03-31,9786,162,5408,410564,383886
2020-04-01,9887,165,5567,421547,395075
2020-04-02,9976,169,5828,431743,403882
2020-04-03,10062,174,6021,443273,414303
2020-04-04,10156,177,6325,455032,424732
2020-04-05,10237,183,6463,461233,431425
2020-04-06,10284,186,6598,466804,437225
2020-04-07,10331,192,6694,477304,446323
2020-04-08,10384,200,6776,486003,457761
2020-04-09,10423,204,6973,494711,468779
2020-04-10,10450,208,7117,503051,477303
2020-04-11,10480,211,7243,510479,485929
2020-04-12,10512,214,7368,514621,490321
2020-04-13,10537,217,7447,518743,494815
2020-04-14,10564,222,7534,527438,502223
2020-04-15,10591,225,7616,534552,508935
2020-04-16,10613,229,7757,538775,513894
2020-04-17,10635,230,7829,546463,521642
2020-04-18,10653,232,7937,554834,530631
2020-04-19,10661,234,8042,559109,536205
2020-04-20,10674,236,8114,563035,540380
2020-04-21,10683,237,8213,571014,547610
2020-04-22,10694,238,8277,577959,555144
2020-04-23,10702,240,8411,583971,563130
2020-04-24,10708,240,8501,589520,569212
2020-04-25,10718,240,8635,595161,575184
2020-04-26,10728,242,8717,598285,578558
2020-04-27,10738,243,8764,601660,582027
2020-04-28,10752,244,8854,608514,588559
2020-04-29,10761,246,8922,614197,595129
2020-04-30,10765,247,9059,619881,600482
2020-05-01,10774,248,9072,623069,603610
2020-05-02,10780,250,9123,627562,608286
2020-05-03,10793,250,9183,630973,611592
2020-05-04,10801,252,9217,633921,614944
2020-05-05,10804,254,9283,640237,620575
2020-05-06,10806,255,9333,643095,624280
2020-05-07,10810,256,9419,649388,630149
2020-05-08,10822,256,9484,654863,635174
2020-05-09,10840,256,9568,660030,640037
2020-05-10,10874,256,9610,663886,642884
2020-05-11,10909,256,9632,668492,646661
2020-05-12,10936,258,9670,680890,653624
2020-05-13,10962,259,9695,695920,665379
2020-05-14,10991,260,9762,711484,679771
2020-05-15,11018,260,9821,726747,695854
2020-05-16,11037,262,9851,741145,711265
2020-05-17,11050,262,9888,747653,718943
2020-05-18,11065,263,9904,753211,726053
2020-05-19,11078,263,9938,765574,737571
2020-05-20,11110,263,10066,776433,748972
2020-05-21,11122,264,10135,788684,759473
2020-05-22,11142,264,10162,802418,770990
2020-05-23,11165,266,10194,814420,781686
2020-05-24,11190,266,10213,820289,788766
2020-05-25,11206,267,10226,826437,796142
2020-05-26,11225,269,10275,839475,806206
2020-05-27,11265,269,10295,852876,820550
2020-05-28,11344,269,10340,868666,834952
2020-05-29,11402,269,10363,885120,849161
2020-05-30,11441,269,10398,902901,865162
2020-05-31,11468,270,10405,910822,876060
2020-06-01,11503,271,10422,921391,885830
2020-06-02,11541,272,10446,939851,899388
2020-06-03,11590,273,10467,956852,917397
2020-06-04,11629,273,10499,973858,934030
2020-06-05,11668,273,10506,990960,950526
2020-06-06,11719,273,10531,1005305,965632
2020-06-07,11776,273,10552,1012769,974512
2020-06-08,11814,273,10563,1018214,982026
2020-06-09,11852,274,10589,1035997,996686
2020-06-10,11902,276,10611,1051972,1013847
2020-06-11,11947,276,10654,1066888,1029447
2020-06-12,12003,277,10669,1081487,1045240
2020-06-13,12051,277,10691,1094704,1059301
2020-06-14,12084,277,10718,1100327,1066887
2020-06-15,12121,277,10730,1105719,1072805
2020-06-16,12155,278,10760,1119767,1084980
2020-06-17,12198,279,10774,1132823,1099136
2020-06-18,12257,280,10800,1145712,1111741
2020-06-19,12306,280,10835,1158063,1124567
2020-06-20,12373,280,10856,1170901,1137058
2020-06-21,12421,280,10868,1176463,1143971
2020-06-22,12438,280,10881,1182066,1150225
2020-06-23,12484,281,10908,1196012,1161250
2020-06-24,12535,281,10930,1208597,1175817
2020-06-25,12563,282,10974,1220478,1189015
2020-06-26,12602,282,11172,1232315,1200885
2020-06-27,12653,282,11317,1243780,1211261
2020-06-28,12715,282,11364,1251695,1219975
2020-06-29,12757,282,11429,1259954,1228698
2020-06-30,12799,282,11537,1273765,1240157
2020-07-01,12850,282,11613,1285231,1252855
2020-07-02,12904,282,11684,1295962,1263276
2020-07-03,12967,282,11759,1307761,1273234
2020-07-04,13030,283,11811,1319523,1284172
2020-07-05,13091,283,11832,1326055,1291315
2020-07-06,13137,284,11848,1331796,1297367
2020-07-07,13181,285,11914,1346194,1309338
2020-07-08,13244,285,11970,1359735,1322479
2020-07-09,13293,287,12019,1371771,1334566
2020-07-10,13338,288,12065,1384890,1348025
2020-07-11,13373,288,12144,1396941,1360618
2020-07-12,13417,289,12178,1402144,1366897
2020-07-13,13479,289,12204,1408312,1372988
2020-07-14,13512,289,12282,1420616,1382815
2020-07-15,13551,289,12348,1431316,1394468
2020-07-16,13612,291,12396,1441348,1404332
2020-07-17,13672,293,12460,1451017,1414235
2020-07-18,13711,294,12519,1460204,1423570
2020-07-19,13745,295,12556,1465299,1429601
2020-07-20,13771,296,12572,1470193,1435120
2020-07-21,13816,296,12643,1482390,1444710
2020-07-22,13879,297,12698,1492071,1456441
2020-07-23,13938,297,12758,1500854,1465498
2020-07-24,13979,298,12817,1510327,1475789
2020-07-25,14092,298,12866,1518634,1484861
2020-07-26,14150,298,12890,1522926,1489562
2020-07-27,14175,299,12905,1526974,1494029
2020-07-28,14203,300,13007,1537704,1503057
2020-07-29,14251,300,13069,1547307,1513730
2020-07-30,14269,300,13132,1556215,1522928
2020-07-31,14305,301,13183,1563796,1531161
2020-08-01,14336,301,13233,1571830,1539216
2020-08-02,14366,301,13259,1576246,1544112
2020-08-03,14389,301,13280,1579757,1547967
2020-08-04,14423,301,13352,1589780,1556633
2020-08-05,14456,302,13406,1598187,1565241
2020-08-06,14499,302,13501,1606487,1573957
2020-08-07,14519,303,13543,1613652,1582065
2020-08-08,14562,304,13629,1620514,1589847
2020-08-09,14598,305,13642,1624650,1593249
2020-08-10,14626,305,13658,1628303,1597281
2020-08-11,14660,305,13729,1637844,1605695
2020-08-12,14714,305,13786,1646652,1614563
2020-08-13,14770,305,13817,1654898,1622330
2020-08-14,14873,305,13863,1665084,1630079
2020-08-15,15039,305,13901,1675296,1638639
2020-08-16,15318,305,13910,1681787,1644464
2020-08-17,15515,305,13917,1688470,1649991
